Year,Month,City_ID,Age_0_to_14_years,Age_15_to_64_yrs,Age_65_yrs_and_over,Age_85_yrs_and_over,Female,Male,Married_or_living_common_law,Not_married_and_not_living_common_law,FirstOfficialLanguage,English,French,English_and_French,Neither_English_nor_French
2021,11,2,724763,2803683,782570,105246,2195819,2115192,1929595,1656653,1,877868,3032897,287932,66634
2021,11,3,275464,1010716,204546,22867,750341,740384,719323,495933,1,1419490,19307,7032,33434
2021,11,4,160893,656430,169488,22114,505672,481145,459436,366483,1,823359,116094,25304,14979
2021,11,5,265893,953257,208640,24709,717450,710345,664455,497442,1,1359600,24945,6517,23310
2021,11,6,70226,319066,82645,24747,220332,210542,226267,176217,1,454192,10280,1694,2489
2021,11,7,373044,1819583,256569,59932,1357120,1303645,1291993,995733,1,2458745,25947,14234,138434
2021,11,8,99210,390740,91090,11698,291517,289524,274563,207268,1,557167,5562,2701,10729
2021,11,9,141950,555912,142432,18330,424839,415460,384795,313550,1,791461,24634,3697,12453
2021,11,10,47653,163710,39121,5420,126734,123755,115476,87360,1,241252,2434,608,2837
2021,12,1,962651,4252109,1019447,135270,3192292,3041927,2900366,2371196,1,5817244,68625,48244,259879
2021,12,2,725269,2804710,784250,105466,2197301,2116923,1930872,1658084,1,879565,3033684,288583,66709
2021,12,3,275676,1011209,205326,22924,751141,741070,719955,496574,1,1420957,19274,7021,33494
2021,12,4,159888,652773,169044,22067,503050,478661,456971,364845,1,823159,111851,25213,14975
2021,12,5,266237,953828,209336,24761,718308,711099,665014,498149,1,1361219,24907,6511,23358
2021,12,6,70373,319662,82940,24164,217292,207777,226777,176727,1,455220,10285,1701,2495
2021,12,7,373210,1821183,254588,60063,1358573,1305182,1293491,997059,1,2461676,25951,14231,138491
2021,12,8,99313,391272,91320,11721,291913,289992,274918,207675,1,558016,5559,2702,10759
2021,12,9,142088,556372,142770,18336,425266,415969,385195,313947,1,792416,24609,3708,12474
2021,12,10,47706,163763,39226,5428,126842,123859,115550,87444,1,241452,2432,608,2841
2022,1,1,962308,4254621,1021848,135572,3194396,3044392,2902489,2373986,1,5821924,68563,48189,259947
2022,1,2,725776,2805737,785930,105686,2198783,2118654,1932148,1659514,1,881263,3034471,289234,66785
2022,1,3,275888,1011702,206107,22982,751942,741755,720588,497215,1,1422424,19242,7009,33554
2022,1,4,158883,649115,168601,22020,500428,476178,454507,363208,1,822959,107607,25123,14971
2022,1,5,266581,954399,210033,24813,719165,711853,665574,498857,1,1362839,24868,6505,23407
2022,1,6,70520,320259,83235,23582,214252,205012,227287,177237,1,456248,10291,1709,2500
2022,1,7,373375,1822782,252607,60194,1360025,1306719,1294989,998386,1,2464607,25954,14227,138548
2022,1,8,99417,391803,91551,11745,292310,290461,275273,208082,1,558865,5556,2704,10790
2022,1,9,142226,556831,143109,18342,425694,416478,385596,314344,1,793372,24584,3719,12496
2022,1,10,47760,163816,39331,5436,126950,123963,115624,87528,1,241652,2430,608,2844
2022,2,1,961965,4257132,1024249,135874,3196501,3046857,2904611,2376776,1,5826604,68501,48135,260016
2022,2,2,726282,2806765,787610,105906,2200265,2120386,1933425,1660945,1,882961,3035258,289886,66860
2022,2,3,276100,1012196,206888,23040,752743,742441,721221,497856,1,1423892,19210,6998,33614
2022,2,4,157879,645458,168157,21973,497806,473694,452043,361571,1,822759,103364,25033,14968
2022,2,5,266925,954971,210729,24865,720023,712608,666134,499565,1,1364459,24830,6500,23455
2022,2,6,70667,320856,83530,23000,211212,202247,227797,177747,1,457276,10297,1716,2506
2022,2,7,373541,1824382,250626,60325,1361478,1308257,1296487,999712,1,2467538,25958,14224,138605
2022,2,8,99520,392335,91782,11769,292707,290930,275629,208489,1,559715,5553,2706,10820
2022,2,9,142364,557291,143447,18348,426121,416987,385997,314742,1,794328,24559,3730,12517
2022,2,10,47814,163869,39436,5444,127058,124067,115698,87612,1,241852,2428,609,2848
2022,3,1,961623,4259643,1026650,136176,3198605,3049323,2906733,2379566,1,5831284,68438,48080,260084
2022,3,2,726788,2807792,789290,106126,2201748,2122117,1934702,1662375,1,884659,3036045,290537,66936
2022,3,3,276313,1012689,207669,23098,753544,743127,721854,498498,1,1425359,19178,6987,33673
2022,3,4,156874,641800,167713,21926,495183,471211,449579,359934,1,822558,99120,24943,14964
2022,3,5,267268,955542,211426,24918,720880,713362,666694,500273,1,1366079,24792,6494,23503
2022,3,6,70813,321453,83825,22418,208173,199483,228308,178258,1,458303,10303,1723,2512
2022,3,7,373707,1825982,248645,60456,1362930,1309794,1297985,1001038,1,2470468,25962,14220,138663
2022,3,8,99623,392867,92013,11793,293104,291399,275984,208896,1,560564,5550,2708,10851
2022,3,9,142503,557750,143786,18353,426548,417496,386398,315139,1,795284,24533,3741,12538
2022,3,10,47868,163923,39541,5453,127166,124171,115773,87696,1,242053,2426,609,2852
2022,4,1,961280,4262155,1029051,136478,3200710,3051788,2908856,2382356,1,5835964,68376,48026,260153
2022,4,2,727295,2808819,790970,106346,2203230,2123848,1935978,1663806,1,886357,3036832,291188,67011
2022,4,3,276525,1013183,208450,23155,754345,743812,722487,499139,1,1426827,19145,6975,33733
2022,4,4,155870,638143,167270,21879,492561,468727,447115,358297,1,822358,94877,24852,14961
2022,4,5,267612,956113,212122,24970,721738,714116,667254,500980,1,1367699,24753,6489,23552
2022,4,6,70960,322049,84120,21835,205133,196718,228818,178768,1,459331,10308,1731,2517
2022,4,7,373872,1827581,246664,60587,1364383,1311332,1299483,1002365,1,2473399,25965,14217,138720
2022,4,8,99727,393398,92243,11816,293501,291868,276340,209303,1,561414,5547,2709,10881
2022,4,9,142641,558210,144124,18359,426976,418005,386798,315537,1,796240,24508,3752,12560
2022,4,10,47921,163976,39646,5461,127274,124275,115847,87780,1,242253,2424,610,2855
2022,5,1,960937,4264666,1031452,136780,3202814,3054253,2910978,2385146,1,5840644,68314,47971,260221
2022,5,2,727801,2809846,792650,106566,2204712,2125579,1937255,1665236,1,888055,3037619,291839,67087
2022,5,3,276737,1013676,209231,23213,755146,744498,723120,499780,1,1428294,19113,6964,33793
2022,5,4,154865,634485,166826,21832,489939,466244,444651,356660,1,822158,90633,24762,14957
2022,5,5,267956,956684,212819,25022,722595,714870,667814,501688,1,1369319,24715,6483,23600
2022,5,6,71107,322646,84415,21253,202093,193953,229328,179278,1,460359,10314,1738,2523
2022,5,7,374038,1829181,244683,60718,1365835,1312869,1300981,1003691,1,2476330,25969,14213,138777
2022,5,8,99830,393930,92474,11840,293898,292337,276695,209710,1,562263,5544,2711,10912
2022,5,9,142779,558669,144463,18365,427403,418514,387199,315934,1,797196,24483,3763,12581
2022,5,10,47975,164029,39751,5469,127382,124379,115921,87864,1,242453,2422,610,2859
2022,6,1,960594,4267177,1033853,137082,3204919,3056718,2913100,2387936,1,5845324,68252,47917,260289
2022,6,2,728307,2810873,794330,106786,2206194,2127310,1938532,1666667,1,889753,3038406,292490,67163
2022,6,3,276949,1014169,210012,23271,755947,745184,723753,500421,1,1429761,19081,6953,33853
2022,6,4,153860,630828,166382,21785,487317,463761,442187,355023,1,821958,86390,24672,14953
2022,6,5,268300,957255,213516,25074,723453,715624,668374,502396,1,1370939,24677,6477,23648
2022,6,6,71254,323243,84710,20671,199053,191188,229838,179788,1,461387,10320,1745,2529
2022,6,7,374204,1830781,242702,60849,1367288,1314406,1302479,1005017,1,2479261,25973,14210,138834
2022,6,8,99933,394462,92705,11864,294295,292806,277050,210117,1,563112,5541,2713,10943
2022,6,9,142917,559129,144802,18371,427830,419023,387600,316331,1,798152,24458,3774,12602
2022,6,10,48029,164082,39856,5477,127490,124483,115995,87948,1,242653,2420,610,2863
2022,7,1,960252,4269689,1036254,137384,3207023,3059184,2915223,2390726,1,5850004,68190,47862,260358
2022,7,2,728814,2811900,796010,107006,2207677,2129041,1939808,1668097,1,891451,3039193,293141,67238
2022,7,3,277162,1014663,210793,23329,756748,745869,724386,501063,1,1431229,19049,6941,33913
2022,7,4,152856,627170,165939,21738,484695,461277,439723,353386,1,821758,82146,24582,14950
2022,7,5,268644,957826,214212,25127,724310,716378,668934,503104,1,1372559,24638,6472,23697
2022,7,6,71401,323840,85005,20089,196014,188424,230349,180299,1,462415,10326,1753,2534
2022,7,7,374369,1832380,240721,60980,1368740,1315944,1303977,1006344,1,2482192,25976,14206,138892
2022,7,8,100037,394993,92936,11888,294692,293275,277406,210524,1,563962,5538,2715,10973
2022,7,9,143056,559588,145140,18377,428258,419532,388001,316729,1,799108,24433,3785,12624
2022,7,10,48083,164136,39961,5486,127598,124587,116070,88032,1,242854,2418,611,2866
2022,8,1,959909,4272200,1038655,137686,3209128,3061649,2917345,2393516,1,5854684,68127,47808,260426
2022,8,2,729320,2812928,797690,107226,2209159,2130773,1941085,1669528,1,893149,3039980,293793,67314
2022,8,3,277374,1015156,211574,23386,757549,746555,725019,501704,1,1432696,19016,6930,33973
2022,8,4,151851,623513,165495,21691,482073,458794,437259,351749,1,821558,77903,24491,14946
2022,8,5,268988,958397,214909,25179,725168,717132,669494,503811,1,1374179,24600,6466,23745
2022,8,6,71547,324436,85300,19506,192974,185659,230859,180809,1,463443,10331,1760,2540
2022,8,7,374535,1833980,238740,61111,1370193,1317481,1305475,1007670,1,2485123,25980,14203,138949
2022,8,8,100140,395525,93166,11911,295089,293744,277761,210931,1,564811,5535,2716,11004
2022,8,9,143194,560048,145479,18383,428685,420041,388401,317126,1,800064,24408,3796,12645
2022,8,10,48136,164189,40066,5494,127706,124691,116144,88116,1,243054,2416,611,2870
2022,9,1,959566,4274711,1041056,137988,3211232,3064114,2919467,2396306,1,5859364,68065,47753,260495
2022,9,2,729826,2813955,799370,107446,2210641,2132504,1942362,1670958,1,894847,3040767,294444,67389
2022,9,3,277586,1015650,212355,23444,758350,747241,725652,502345,1,1434164,18984,6919,34032
2022,9,4,150847,619855,165051,21644,479450,456310,434795,350112,1,821357,73659,24401,14943
2022,9,5,269331,958969,215605,25231,726025,717887,670054,504519,1,1375799,24562,6461,23793
2022,9,6,71694,325033,85595,18924,189934,182894,231369,181319,1,464470,10337,1767,2546
2022,9,7,374701,1835580,236759,61242,1371645,1319019,1306973,1008996,1,2488053,25984,14199,139006
2022,9,8,100243,396057,93397,11935,295486,294213,278117,211338,1,565661,5532,2718,11034
2022,9,9,143332,560507,145817,18388,429112,420550,388802,317524,1,801020,24382,3807,12666
2022,9,10,48190,164242,40171,5502,127814,124795,116218,88200,1,243254,2414,612,2874
2022,10,1,959223,4277223,1043457,138290,3213337,3066579,2921590,2399096,1,5864044,68003,47699,260563
2022,10,2,730333,2814982,801050,107666,2212123,2134235,1943638,1672389,1,896545,3041554,295095,67465
2022,10,3,277798,1016143,213136,23502,759151,747926,726285,502986,1,1435631,18952,6907,34092
2022,10,4,149842,616198,164608,21597,476828,453827,432331,348475,1,821157,69416,24311,14939
2022,10,5,269675,959540,216302,25283,726883,718641,670614,505227,1,1377419,24523,6455,23842
2022,10,6,71841,325630,85890,18342,186894,180129,231879,181829,1,465498,10343,1775,2551
2022,10,7,374866,1837179,234778,61373,1373098,1320556,1308471,1010323,1,2490984,25987,14196,139063
2022,10,8,100347,396588,93628,11959,295883,294682,278472,211745,1,566510,5529,2720,11065
2022,10,9,143470,560967,146156,18394,429540,421059,389203,317921,1,801976,24357,3818,12688
2022,10,10,48244,164295,40276,5510,127922,124899,116292,88284,1,243454,2412,612,2877
2022,11,1,958881,4279734,1045858,138593,3215441,3069045,2923712,2401887,1,5868724,67941,47644,260632
2022,11,2,730839,2816009,802730,107887,2213606,2135966,1944915,1673819,1,898242,3042341,295746,67540
2022,11,3,278011,1016637,213917,23560,759951,748612,726917,503628,1,1437099,18920,6896,34152
2022,11,4,148838,612540,164164,21551,474206,451344,429867,346838,1,820957,65172,24221,14936
2022,11,5,270019,960111,216999,25336,727740,719395,671173,505935,1,1379039,24485,6450,23890
2022,11,6,71988,326227,86185,17760,183855,177365,232390,182340,1,466526,10349,1782,2557
2022,11,7,375032,1838779,232797,61505,1374550,1322094,1309969,1011649,1,2493915,25991,14192,139121
2022,11,8,100450,397120,93859,11983,296280,295151,278828,212153,1,567359,5526,2722,11096
2022,11,9,143609,561426,146495,18400,429967,421569,389604,318319,1,802931,24332,3830,12709
2022,11,10,48298,164349,40382,5519,128031,125004,116367,88368,1,243655,2411,612,2881
2022,12,1,958538,4282245,1048259,138895,3217546,3071510,2925834,2404677,1,5873403,67879,47590,260700
2022,12,2,731345,2817036,804410,108107,2215088,2137697,1946192,1675250,1,899940,3043128,296397,67616
2022,12,3,278223,1017130,214697,23617,760752,749298,727550,504269,1,1438566,18887,6885,34212
2022,12,4,147833,608883,163720,21504,471584,448860,427402,345200,1,820757,60929,24130,14932
2022,12,5,270363,960682,217695,25388,728598,720149,671733,506642,1,1380658,24447,6444,23938
2022,12,6,72135,326823,86480,17177,180815,174600,232900,182850,1,467554,10354,1789,2563
2022,12,7,375198,1840379,230816,61636,1376003,1323631,1311467,1012975,1,2496846,25995,14189,139178
2022,12,8,100553,397652,94089,12006,296676,295619,279183,212560,1,568209,5523,2723,11126
2022,12,9,143747,561886,146833,18406,430394,422078,390004,318716,1,803887,24307,3841,12730
2022,12,10,48351,164402,40487,5527,128139,125108,116441,88453,1,243855,2409,613,2885
2023,1,1,958195,4284757,1050660,139197,3219650,3073975,2927957,2407467,1,5878083,67817,47535,260768
2023,1,2,731852,2818063,806090,108327,2216570,2139428,1947468,1676680,1,901638,3043915,297048,67692
2023,1,3,278435,1017623,215478,23675,761553,749983,728183,504910,1,1440033,18855,6873,34272
2023,1,4,146828,605225,163277,21457,468962,446377,424938,343563,1,820557,56685,24040,14928
2023,1,5,270707,961253,218392,25440,729455,720903,672293,507350,1,1382278,24408,6438,23987
2023,1,6,72282,327420,86775,16595,177775,171835,233410,183360,1,468582,10360,1797,2568
2023,1,7,375363,1841978,228835,61767,1377455,1325168,1312965,1014302,1,2499777,25998,14185,139235
2023,1,8,100657,398183,94320,12030,297073,296088,279538,212967,1,569058,5520,2725,11157
2023,1,9,143885,562345,147172,18412,430822,422587,390405,319113,1,804843,24282,3852,12752
2023,1,10,48405,164455,40592,5535,128247,125212,116515,88537,1,244055,2407,613,2888
2023,2,1,957852,4287268,1053061,139499,3221755,3076440,2930079,2410257,1,5882763,67754,47481,260837
2023,2,2,732358,2819091,807770,108547,2218052,2141160,1948745,1678111,1,903336,3044702,297700,67767
2023,2,3,278647,1018117,216259,23733,762354,750669,728816,505551,1,1441501,18823,6862,34332
2023,2,4,145824,601568,162833,21410,466340,443893,422474,341926,1,820357,52442,23950,14925
2023,2,5,271051,961824,219088,25492,730313,721657,672853,508058,1,1383898,24370,6433,24035
2023,2,6,72428,328017,87070,16013,174735,169070,233920,183870,1,469610,10366,1804,2574
