Year,Month,CityID,Aircraft_Movement_Rate,Fuel_Price,Passenger_Growth_Rate
2021,9,7,-3.72,156.7,27.97
2021,10,7,0.92,162.4,37.47
2021,11,7,-4.06,159.8,43.48
2021,12,7,3.26,157.2,42.62
2022,1,7,-14.72,170.5,44.65
2022,2,7,-4.47,177.1,45.13
2022,3,7,23.83,198.3,49.43
2022,4,7,3.65,198.5,46.84
2022,5,7,15.22,220.1,41.39
2022,6,7,10.01,225.4,45.26
2022,7,7,10.02,202.4,51.24
2022,8,7,3.46,193.2,49.45
2022,9,7,-13.34,205.7,49.63
2022,10,7,-6.56,206.9,48.69
2022,11,7,-11.88,183.5,51.96
2022,12,7,-2.07,164.1,51.86
2023,1,7,5.47,179.3,55.58
2023,2,7,-9.78,183.3,54.24
2023,3,7,18.2,183,53.04
2023,4,7,-4.17,188.9,51.13
2023,5,7,13.95,187.8,47.51
2023,6,7,2.65,202,49.98
2023,7,7,12.96,197,53.24
2023,8,7,1.51,206.9,50.15
2023,9,7,-13.35,203.6,49.76
2023,10,7,-6.19,182.3,51.03
2023,11,7,-7.3,178.7,55.39
2023,12,7,2.8,171.7,55.83
